id,height,peito_circ,cintura_circ,quadril_circ,coxa_circ,joelho_circ,panturrilha_circ,abdomen_circ,pescoco_circ,biceps_circ,split
syn_m000000-2-Pos,177.76,90.95,65.7,96.6,53.72,36.27,36.68,62.95,36.23,28.67,unknown
syn_m000006-3-Pre,176.09,107.32,76.52,103.33,60.03,37.95,40.69,75.84,43.03,37.16,unknown
syn_m000020-0-Pre,179.46,111.73,108.51,105.74,62.76,42.94,38.72,110.56,44.27,33.91,test
syn_m000031-2-Pre,176.66,103.1,73.93,104.2,59.12,38.62,38.52,72.22,39.24,34.19,unknown
syn_m000033-3-Pos,174.6,103.57,67.62,98.98,57.72,38.3,39.71,68.69,36.86,34.89,test
syn_m000055-2-Pre,172.48,106.83,86.42,105.7,62.98,41.05,41.88,84.33,42.0,35.09,test
syn_m000075-3-Pos,178.41,120.6,78.55,109.88,63.57,42.14,43.24,79.32,44.71,39.07,unknown
syn_m000090-3-Pre,172.64,108.81,73.71,101.69,59.02,41.52,41.76,72.71,43.13,38.59,unknown
syn_m000090-3-Pos,172.64,108.81,73.71,101.69,59.02,41.52,41.76,72.71,43.13,38.59,unknown
syn_m000097-1-Pos,187.05,105.52,92.58,101.4,56.7,39.03,37.65,94.57,43.21,32.37,test
syn_m000101-3-Pos,178.9,105.46,69.12,105.23,59.04,41.8,42.05,68.61,44.0,35.35,unknown
syn_m000121-2-Pre,171.6,112.44,92.15,104.34,61.72,41.38,39.57,93.13,41.02,36.69,unknown
syn_m000122-2-Pre,183.45,122.19,97.07,111.91,64.22,45.57,42.06,99.04,44.57,40.89,test
syn_m000131-1-Pre,182.47,101.27,81.67,104.76,58.74,38.61,37.06,82.58,39.89,32.37,unknown
syn_m000161-0-Pos,196.5,119.2,114.64,116.21,70.48,45.73,42.53,115.94,43.76,35.04,unknown
syn_m000183-1-Pre,173.1,112.93,96.08,120.26,73.06,51.97,42.39,100.63,41.8,37.74,unknown
syn_m000194-1-Pre,165.22,94.95,79.93,92.88,54.19,35.91,36.43,81.07,39.75,29.94,unknown
syn_m000204-1-Pre,185.07,114.09,101.21,108.3,63.93,44.87,42.75,102.13,42.46,36.87,test
syn_m000206-0-Pos,177.99,108.03,98.3,106.3,63.69,43.76,40.75,104.3,40.95,30.78,test
syn_m000214-0-Pos,166.57,106.47,96.89,112.56,66.34,45.85,43.45,103.55,41.4,37.06,test
syn_m000223-2-Pre,184.42,106.74,79.76,96.16,53.71,35.91,38.35,79.22,38.35,33.3,test
syn_m000234-0-Pre,170.14,90.11,81.46,101.4,55.18,38.06,34.63,84.95,37.19,27.47,unknown
syn_m000246-0-Pos,185.73,112.88,98.8,115.05,68.87,47.25,40.83,102.98,40.6,36.74,test
syn_m000266-1-Pre,173.11,93.37,75.77,99.12,52.18,37.12,36.62,78.72,37.5,26.09,unknown
syn_m000271-0-Pre,181.85,111.77,100.08,108.5,65.02,44.39,40.56,100.97,42.37,34.82,test
syn_m000273-1-Pre,164.18,90.47,66.18,90.22,52.16,34.94,35.21,63.28,35.35,28.79,unknown
syn_m000278-2-Pre,175.7,108.37,81.64,102.97,61.2,40.29,42.01,80.54,40.63,36.97,unknown
syn_m000309-0-Pos,177.77,100.1,92.02,106.68,62.82,42.63,37.12,96.27,39.5,33.82,test
syn_m000327-1-Pos,191.54,96.55,69.05,93.73,52.49,33.85,34.8,69.05,37.46,27.91,unknown
syn_m000331-2-Pre,172.88,111.57,81.33,106.3,62.02,41.4,43.23,80.56,41.67,37.37,unknown
syn_m000332-2-Pre,155.74,93.9,63.03,94.55,54.42,39.37,38.1,64.84,34.19,30.86,unknown
syn_m000340-3-Pos,175.51,128.49,98.61,112.25,68.37,44.52,47.49,100.43,45.85,41.09,test
syn_m000392-1-Pre,167.26,114.93,105.0,102.37,61.43,41.41,39.14,106.69,43.96,35.88,unknown
syn_m000393-3-Pre,176.31,112.03,77.93,103.47,60.77,39.63,41.26,75.92,40.36,37.17,unknown
syn_m000434-1-Pos,171.53,105.71,93.43,103.33,57.57,41.79,38.32,92.04,40.24,32.51,test
syn_m000436-0-Pre,174.59,104.88,100.8,109.24,65.66,47.62,38.94,102.64,41.71,33.9,test
syn_m000446-3-Pos,175.68,111.52,73.8,99.8,57.79,38.78,42.32,69.44,42.83,35.77,test
