id,height,peito_circ,cintura_circ,quadril_circ,coxa_circ,joelho_circ,panturrilha_circ,abdomen_circ,pescoco_circ,biceps_circ,split
syn_m000005-2-Pos,177.64,106.79,85.46,109.81,60.67,42.06,43.85,86.66,39.37,31.92,train
syn_m000006-2-Pre,176.09,103.48,81.51,102.64,59.55,37.98,38.66,81.92,42.12,34.49,train
syn_m000009-3-Pre,188.28,125.2,82.22,121.38,71.56,47.27,49.72,82.69,43.27,42.62,train
syn_m000013-1-Pre,187.63,123.39,103.11,111.13,63.56,43.7,40.86,106.33,46.11,38.4,train
syn_m000013-1-Pos,187.63,123.39,103.11,111.13,63.56,43.7,40.86,106.33,46.11,38.4,train
syn_m000020-1-Pre,179.46,113.66,104.31,105.58,63.02,42.89,40.53,104.51,44.35,35.75,train
syn_m000021-2-Pos,168.06,99.6,70.41,93.58,52.97,36.18,38.5,70.56,39.2,29.65,train
syn_m000040-0-Pre,169.8,85.07,78.07,91.64,48.51,35.5,31.35,80.79,34.07,24.97,train
syn_m000063-2-Pre,180.67,107.02,86.78,108.32,64.3,42.56,41.32,87.18,44.61,37.95,train
syn_m000066-0-Pre,179.47,116.63,110.27,113.09,66.68,46.1,42.03,110.35,44.3,37.36,train
syn_m000076-1-Pre,173.61,99.58,81.45,96.19,58.09,41.97,38.65,83.69,39.8,34.26,train
syn_m000076-1-Pos,173.61,99.58,81.45,96.19,58.09,41.97,38.65,83.69,39.8,34.26,train
syn_m000105-1-Pre,182.46,115.25,97.79,115.93,67.79,45.66,43.16,98.49,44.76,37.76,train
syn_m000112-1-Pos,186.93,117.22,104.71,112.62,65.08,46.23,43.11,106.75,46.75,37.78,train
syn_m000113-0-Pre,185.93,101.64,90.25,109.99,65.38,44.47,39.51,94.72,38.81,32.34,train
syn_m000114-3-Pre,181.77,103.99,68.08,102.73,58.35,38.67,40.43,67.72,40.95,34.16,train
syn_m000127-2-Pre,175.11,101.06,75.31,101.2,57.16,38.11,38.85,78.29,39.85,31.18,train
syn_m000142-3-Pre,173.49,112.95,76.38,109.5,64.69,43.61,42.76,77.73,41.46,42.05,train
syn_m000154-1-Pre,182.22,119.92,107.03,114.38,66.28,45.88,42.48,109.14,46.06,39.01,train
syn_m000168-0-Pre,163.49,92.94,76.44,101.96,55.49,39.06,33.19,78.09,36.13,30.66,train
syn_m000168-3-Pre,163.49,105.14,63.54,99.24,56.81,39.49,39.47,60.69,39.4,36.54,train
syn_m000169-2-Pre,185.57,112.5,81.61,105.26,59.08,40.94,41.67,80.32,42.92,33.97,train
syn_m000174-0-Pre,174.72,97.41,81.63,101.02,53.6,36.56,35.81,82.91,37.08,28.0,train
syn_m000183-2-Pre,173.1,116.23,91.55,120.48,73.4,51.97,44.25,94.32,42.16,39.68,train
syn_m000201-0-Pos,172.4,93.51,86.33,108.31,63.33,45.05,39.87,90.03,37.86,31.62,train
syn_m000209-2-Pos,182.59,122.84,104.29,110.28,65.51,45.57,44.57,104.6,44.0,38.21,train
syn_m000212-2-Pre,170.51,102.37,67.46,107.36,59.16,41.06,40.09,68.41,41.23,33.83,train
syn_m000212-2-Pos,170.51,102.37,67.46,107.36,59.16,41.06,40.09,68.41,41.23,33.83,train
syn_m000216-0-Pre,184.33,96.8,84.94,97.02,56.55,39.0,35.63,90.9,38.21,24.88,train
syn_m000226-0-Pre,188.26,111.69,104.64,110.08,62.61,42.07,40.64,107.37,42.53,30.91,train
syn_m000234-2-Pre,170.14,96.86,72.07,101.23,56.1,38.14,38.35,73.15,37.97,31.0,train
syn_m000243-3-Pre,174.64,111.21,72.62,92.33,51.23,35.74,38.44,69.26,38.91,35.84,train
syn_m000258-3-Pre,190.29,122.61,87.76,115.09,67.54,45.91,48.02,88.81,46.84,41.86,train
syn_m000268-1-Pre,190.1,109.81,95.92,109.3,66.59,45.67,43.57,96.19,43.3,35.96,train
syn_m000280-2-Pos,180.57,105.4,82.19,102.2,59.9,39.33,40.67,83.26,39.06,35.62,train
syn_m000293-3-Pre,182.7,104.97,69.34,112.07,62.73,44.31,42.56,73.93,40.73,36.28,train
syn_m000299-2-Pos,180.52,116.4,89.46,107.8,64.04,42.24,41.59,90.66,47.46,38.18,train
syn_m000317-3-Pre,172.34,117.96,85.09,105.39,59.67,40.71,41.2,85.54,42.48,37.17,train
syn_m000323-2-Pos,188.55,110.82,83.87,105.87,63.28,44.26,42.53,83.59,43.53,36.53,train
syn_m000338-0-Pre,179.23,113.03,102.11,112.71,63.76,43.69,42.88,104.02,44.95,34.96,train
syn_m000345-0-Pre,189.52,105.48,98.93,113.31,66.08,43.62,39.08,104.42,43.18,31.99,train
syn_m000353-0-Pre,185.01,108.53,95.37,110.18,64.03,42.81,36.67,98.64,40.27,31.66,train
syn_m000353-0-Pos,185.01,108.53,95.37,110.18,64.03,42.81,36.67,98.64,40.27,31.66,train
syn_m000368-3-Pos,171.66,106.89,70.69,97.37,54.04,35.52,38.17,68.86,42.87,35.51,train
syn_m000374-2-Pos,168.56,109.56,84.97,103.01,58.55,39.63,38.65,86.95,43.15,32.91,train
syn_m000377-3-Pre,182.96,118.24,78.54,106.77,60.16,40.99,43.28,77.88,39.16,38.71,train
syn_m000380-0-Pos,190.51,121.12,116.91,119.12,70.44,49.97,44.69,119.45,47.43,36.76,train
syn_m000383-1-Pre,172.79,110.19,89.2,109.55,65.04,45.27,42.99,90.44,42.13,34.48,train
syn_m000390-1-Pos,158.45,109.31,99.59,102.97,61.28,41.28,38.38,99.42,43.59,34.49,train
syn_m000395-1-Pre,172.33,90.91,77.46,96.48,57.98,42.31,39.72,76.34,40.77,27.79,train
syn_m000416-1-Pre,195.52,125.32,112.19,115.68,66.04,44.81,42.03,115.3,48.6,37.58,train
syn_m000427-3-Pos,167.81,96.86,64.46,91.03,47.68,34.55,38.85,57.87,35.68,30.29,train
syn_m000432-3-Pos,170.12,111.63,87.67,106.58,63.8,46.45,43.8,89.14,43.39,40.5,train
syn_m000435-1-Pre,183.48,94.61,80.02,102.77,60.68,44.11,41.4,81.31,37.83,31.96,train
syn_m000441-3-Pre,190.59,120.2,85.99,115.34,68.45,45.62,48.73,88.65,46.63,41.99,train
syn_m000442-2-Pos,170.0,94.86,67.62,100.27,53.36,35.59,35.3,70.45,41.17,30.87,train
syn_m000446-2-Pre,175.68,105.28,78.03,99.44,57.25,38.77,40.31,75.05,42.03,33.33,train
syn_m000453-0-Pos,192.78,118.94,107.76,116.65,70.09,46.73,42.92,113.61,43.1,35.71,train
syn_m000462-0-Pre,171.73,103.32,98.38,108.45,62.34,42.4,38.83,101.08,43.03,33.2,train
syn_m000465-0-Pre,170.49,82.14,69.34,91.31,47.14,32.75,32.12,69.76,32.86,23.2,train
syn_m000465-3-Pre,170.49,94.47,56.52,89.93,47.94,32.8,37.92,52.53,34.26,30.65,train
syn_m000470-0-Pre,182.28,121.85,110.92,115.52,66.28,46.1,41.59,113.2,45.86,38.37,train
syn_m000486-2-Pos,173.34,105.93,82.1,99.81,57.65,39.1,40.37,84.06,40.68,34.95,train
syn_m000488-2-Pos,179.45,119.54,94.66,111.79,68.37,46.52,43.81,94.19,48.62,40.31,train
syn_m000493-0-Pre,181.52,102.77,99.32,111.95,64.65,45.72,42.34,103.12,39.89,32.64,train
syn_m000499-2-Pos,161.1,106.95,87.13,92.09,55.4,38.14,40.59,83.17,41.28,31.3,train
syn_f000000-0-Pre,167.21,93.18,80.76,106.52,57.4,39.94,36.1,85.84,32.25,28.0,train
syn_f000002-3-Pre,158.07,108.36,82.43,111.4,69.65,49.91,43.47,97.47,39.02,36.78,train
syn_f000008-1-Pre,174.57,98.91,85.33,123.8,70.84,44.42,38.54,97.13,34.71,36.73,train
syn_f000009-1-Pos,158.94,102.39,84.88,112.86,65.53,44.71,39.93,90.51,37.39,35.35,train
syn_f000012-0-Pos,152.31,91.48,74.53,95.13,50.16,35.6,31.94,84.89,34.66,27.5,train
